source,source_release,geography,year,period,metric,value,unit,status,is_revised,rpp_year,method,input_source_ids,assumptions,regional_rank
National Assessment of Educational Progress Data Service,2024 assessment,Alabama,2024,2024 assessment,naep_grade_4_mathematics_at_or_above_proficient,36.903,percent at or above NAEP Proficient,actual,False,,,,,9
National Assessment of Educational Progress Data Service,2024 assessment,Alabama,2024,2024 assessment,naep_grade_4_reading_at_or_above_proficient,28.041,percent at or above NAEP Proficient,actual,False,,,,,11
National Assessment of Educational Progress Data Service,2024 assessment,Alabama,2024,2024 assessment,naep_grade_8_mathematics_at_or_above_proficient,18.367,percent at or above NAEP Proficient,actual,False,,,,,11
National Assessment of Educational Progress Data Service,2024 assessment,Alabama,2024,2024 assessment,naep_grade_8_reading_at_or_above_proficient,21.263,percent at or above NAEP Proficient,actual,False,,,,,11
National Assessment of Educational Progress Data Service,2024 assessment,Arkansas,2024,2024 assessment,naep_grade_4_mathematics_at_or_above_proficient,31.265,percent at or above NAEP Proficient,actual,False,,,,,11
National Assessment of Educational Progress Data Service,2024 assessment,Arkansas,2024,2024 assessment,naep_grade_4_reading_at_or_above_proficient,28.100,percent at or above NAEP Proficient,actual,False,,,,,10
National Assessment of Educational Progress Data Service,2024 assessment,Arkansas,2024,2024 assessment,naep_grade_8_mathematics_at_or_above_proficient,19.818,percent at or above NAEP Proficient,actual,False,,,,,10
National Assessment of Educational Progress Data Service,2024 assessment,Arkansas,2024,2024 assessment,naep_grade_8_reading_at_or_above_proficient,25.346,percent at or above NAEP Proficient,actual,False,,,,,9
National Assessment of Educational Progress Data Service,2024 assessment,Florida,2024,2024 assessment,naep_grade_4_mathematics_at_or_above_proficient,44.778,percent at or above NAEP Proficient,actual,False,,,,,1
National Assessment of Educational Progress Data Service,2024 assessment,Florida,2024,2024 assessment,naep_grade_4_reading_at_or_above_proficient,32.987,percent at or above NAEP Proficient,actual,False,,,,,1
National Assessment of Educational Progress Data Service,2024 assessment,Florida,2024,2024 assessment,naep_grade_8_mathematics_at_or_above_proficient,21.116,percent at or above NAEP Proficient,actual,False,,,,,8
National Assessment of Educational Progress Data Service,2024 assessment,Florida,2024,2024 assessment,naep_grade_8_reading_at_or_above_proficient,25.349,percent at or above NAEP Proficient,actual,False,,,,,8
National Assessment of Educational Progress Data Service,2024 assessment,Georgia,2024,2024 assessment,naep_grade_4_mathematics_at_or_above_proficient,37.665,percent at or above NAEP Proficient,actual,False,,,,,8
National Assessment of Educational Progress Data Service,2024 assessment,Georgia,2024,2024 assessment,naep_grade_4_reading_at_or_above_proficient,30.440,percent at or above NAEP Proficient,actual,False,,,,,8
National Assessment of Educational Progress Data Service,2024 assessment,Georgia,2024,2024 assessment,naep_grade_8_mathematics_at_or_above_proficient,23.658,percent at or above NAEP Proficient,actual,False,,,,,6
National Assessment of Educational Progress Data Service,2024 assessment,Georgia,2024,2024 assessment,naep_grade_8_reading_at_or_above_proficient,31.200,percent at or above NAEP Proficient,actual,False,,,,,1
National Assessment of Educational Progress Data Service,2024 assessment,Kentucky,2024,2024 assessment,naep_grade_4_mathematics_at_or_above_proficient,38.436,percent at or above NAEP Proficient,actual,False,,,,,6
National Assessment of Educational Progress Data Service,2024 assessment,Kentucky,2024,2024 assessment,naep_grade_4_reading_at_or_above_proficient,32.709,percent at or above NAEP Proficient,actual,False,,,,,2
National Assessment of Educational Progress Data Service,2024 assessment,Kentucky,2024,2024 assessment,naep_grade_8_mathematics_at_or_above_proficient,24.324,percent at or above NAEP Proficient,actual,False,,,,,4
National Assessment of Educational Progress Data Service,2024 assessment,Kentucky,2024,2024 assessment,naep_grade_8_reading_at_or_above_proficient,28.609,percent at or above NAEP Proficient,actual,False,,,,,4
National Assessment of Educational Progress Data Service,2024 assessment,Louisiana,2024,2024 assessment,naep_grade_4_mathematics_at_or_above_proficient,34.804,percent at or above NAEP Proficient,actual,False,,,,,10
National Assessment of Educational Progress Data Service,2024 assessment,Louisiana,2024,2024 assessment,naep_grade_4_reading_at_or_above_proficient,31.839,percent at or above NAEP Proficient,actual,False,,,,,5
National Assessment of Educational Progress Data Service,2024 assessment,Louisiana,2024,2024 assessment,naep_grade_8_mathematics_at_or_above_proficient,20.843,percent at or above NAEP Proficient,actual,False,,,,,9
National Assessment of Educational Progress Data Service,2024 assessment,Louisiana,2024,2024 assessment,naep_grade_8_reading_at_or_above_proficient,27.197,percent at or above NAEP Proficient,actual,False,,,,,5
National Assessment of Educational Progress Data Service,2024 assessment,Mississippi,2024,2024 assessment,naep_grade_4_mathematics_at_or_above_proficient,37.804,percent at or above NAEP Proficient,actual,False,,,,,7
National Assessment of Educational Progress Data Service,2024 assessment,Mississippi,2024,2024 assessment,naep_grade_4_reading_at_or_above_proficient,31.980,percent at or above NAEP Proficient,actual,False,,,,,4
National Assessment of Educational Progress Data Service,2024 assessment,Mississippi,2024,2024 assessment,naep_grade_8_mathematics_at_or_above_proficient,21.583,percent at or above NAEP Proficient,actual,False,,,,,7
National Assessment of Educational Progress Data Service,2024 assessment,Mississippi,2024,2024 assessment,naep_grade_8_reading_at_or_above_proficient,22.767,percent at or above NAEP Proficient,actual,False,,,,,10
National Assessment of Educational Progress Data Service,2024 assessment,North Carolina,2024,2024 assessment,naep_grade_4_mathematics_at_or_above_proficient,41.265,percent at or above NAEP Proficient,actual,False,,,,,3
National Assessment of Educational Progress Data Service,2024 assessment,North Carolina,2024,2024 assessment,naep_grade_4_reading_at_or_above_proficient,30.084,percent at or above NAEP Proficient,actual,False,,,,,9
National Assessment of Educational Progress Data Service,2024 assessment,North Carolina,2024,2024 assessment,naep_grade_8_mathematics_at_or_above_proficient,31.465,percent at or above NAEP Proficient,actual,False,,,,,1
National Assessment of Educational Progress Data Service,2024 assessment,North Carolina,2024,2024 assessment,naep_grade_8_reading_at_or_above_proficient,26.922,percent at or above NAEP Proficient,actual,False,,,,,6
National Assessment of Educational Progress Data Service,2024 assessment,South Carolina,2024,2024 assessment,naep_grade_4_mathematics_at_or_above_proficient,39.960,percent at or above NAEP Proficient,actual,False,,,,,5
National Assessment of Educational Progress Data Service,2024 assessment,South Carolina,2024,2024 assessment,naep_grade_4_reading_at_or_above_proficient,32.475,percent at or above NAEP Proficient,actual,False,,,,,3
National Assessment of Educational Progress Data Service,2024 assessment,South Carolina,2024,2024 assessment,naep_grade_8_mathematics_at_or_above_proficient,23.738,percent at or above NAEP Proficient,actual,False,,,,,5
National Assessment of Educational Progress Data Service,2024 assessment,South Carolina,2024,2024 assessment,naep_grade_8_reading_at_or_above_proficient,25.837,percent at or above NAEP Proficient,actual,False,,,,,7
National Assessment of Educational Progress Data Service,2024 assessment,Tennessee,2024,2024 assessment,naep_grade_4_mathematics_at_or_above_proficient,41.702,percent at or above NAEP Proficient,actual,False,,,,,2
National Assessment of Educational Progress Data Service,2024 assessment,Tennessee,2024,2024 assessment,naep_grade_4_reading_at_or_above_proficient,31.784,percent at or above NAEP Proficient,actual,False,,,,,6
National Assessment of Educational Progress Data Service,2024 assessment,Tennessee,2024,2024 assessment,naep_grade_8_mathematics_at_or_above_proficient,30.515,percent at or above NAEP Proficient,actual,False,,,,,2
National Assessment of Educational Progress Data Service,2024 assessment,Tennessee,2024,2024 assessment,naep_grade_8_reading_at_or_above_proficient,31.058,percent at or above NAEP Proficient,actual,False,,,,,2
National Assessment of Educational Progress Data Service,2024 assessment,Virginia,2024,2024 assessment,naep_grade_4_mathematics_at_or_above_proficient,40.038,percent at or above NAEP Proficient,actual,False,,,,,4
National Assessment of Educational Progress Data Service,2024 assessment,Virginia,2024,2024 assessment,naep_grade_4_reading_at_or_above_proficient,30.723,percent at or above NAEP Proficient,actual,False,,,,,7
National Assessment of Educational Progress Data Service,2024 assessment,Virginia,2024,2024 assessment,naep_grade_8_mathematics_at_or_above_proficient,28.513,percent at or above NAEP Proficient,actual,False,,,,,3
National Assessment of Educational Progress Data Service,2024 assessment,Virginia,2024,2024 assessment,naep_grade_8_reading_at_or_above_proficient,28.967,percent at or above NAEP Proficient,actual,False,,,,,3
National Assessment of Educational Progress Data Service,2024 assessment,West Virginia,2024,2024 assessment,naep_grade_4_mathematics_at_or_above_proficient,31.170,percent at or above NAEP Proficient,actual,False,,,,,12
