source,source_release,geography,year,metric,value,unit,status
BEA regional price parities,2024,Alabama,2008,regional_price_parity,88.901,index (United States = 100),actual
BEA regional price parities,2024,Alabama,2009,regional_price_parity,87.786,index (United States = 100),actual
BEA regional price parities,2024,Alabama,2010,regional_price_parity,89.783,index (United States = 100),actual
BEA regional price parities,2024,Alabama,2011,regional_price_parity,90.011,index (United States = 100),actual
BEA regional price parities,2024,Alabama,2012,regional_price_parity,90.559,index (United States = 100),actual
BEA regional price parities,2024,Alabama,2013,regional_price_parity,90.324,index (United States = 100),actual
BEA regional price parities,2024,Alabama,2014,regional_price_parity,90.175,index (United States = 100),actual
BEA regional price parities,2024,Alabama,2015,regional_price_parity,89.741,index (United States = 100),actual
BEA regional price parities,2024,Alabama,2016,regional_price_parity,90.609,index (United States = 100),actual
BEA regional price parities,2024,Alabama,2017,regional_price_parity,90.065,index (United States = 100),actual
BEA regional price parities,2024,Alabama,2018,regional_price_parity,87.378,index (United States = 100),actual
BEA regional price parities,2024,Alabama,2019,regional_price_parity,88.303,index (United States = 100),actual
BEA regional price parities,2024,Alabama,2020,regional_price_parity,87.569,index (United States = 100),actual
BEA regional price parities,2024,Alabama,2021,regional_price_parity,88.062,index (United States = 100),actual
BEA regional price parities,2024,Alabama,2022,regional_price_parity,88.021,index (United States = 100),actual
BEA regional price parities,2024,Alabama,2023,regional_price_parity,89.097,index (United States = 100),actual
BEA regional price parities,2024,Alabama,2024,regional_price_parity,88.823,index (United States = 100),actual
BEA regional price parities,2024,Arkansas,2008,regional_price_parity,88.096,index (United States = 100),actual
BEA regional price parities,2024,Arkansas,2009,regional_price_parity,86.364,index (United States = 100),actual
BEA regional price parities,2024,Arkansas,2010,regional_price_parity,88.561,index (United States = 100),actual
BEA regional price parities,2024,Arkansas,2011,regional_price_parity,89.383,index (United States = 100),actual
BEA regional price parities,2024,Arkansas,2012,regional_price_parity,89.394,index (United States = 100),actual
BEA regional price parities,2024,Arkansas,2013,regional_price_parity,89.493,index (United States = 100),actual
BEA regional price parities,2024,Arkansas,2014,regional_price_parity,89.395,index (United States = 100),actual
BEA regional price parities,2024,Arkansas,2015,regional_price_parity,89.013,index (United States = 100),actual
BEA regional price parities,2024,Arkansas,2016,regional_price_parity,89.298,index (United States = 100),actual
BEA regional price parities,2024,Arkansas,2017,regional_price_parity,88.561,index (United States = 100),actual
BEA regional price parities,2024,Arkansas,2018,regional_price_parity,87.144,index (United States = 100),actual
BEA regional price parities,2024,Arkansas,2019,regional_price_parity,87.744,index (United States = 100),actual
BEA regional price parities,2024,Arkansas,2020,regional_price_parity,88.165,index (United States = 100),actual
BEA regional price parities,2024,Arkansas,2021,regional_price_parity,88.902,index (United States = 100),actual
BEA regional price parities,2024,Arkansas,2022,regional_price_parity,86.913,index (United States = 100),actual
BEA regional price parities,2024,Arkansas,2023,regional_price_parity,86.810,index (United States = 100),actual
BEA regional price parities,2024,Arkansas,2024,regional_price_parity,86.937,index (United States = 100),actual
BEA regional price parities,2024,Florida,2008,regional_price_parity,101.668,index (United States = 100),actual
BEA regional price parities,2024,Florida,2009,regional_price_parity,100.491,index (United States = 100),actual
BEA regional price parities,2024,Florida,2010,regional_price_parity,100.392,index (United States = 100),actual
BEA regional price parities,2024,Florida,2011,regional_price_parity,100.846,index (United States = 100),actual
BEA regional price parities,2024,Florida,2012,regional_price_parity,101.072,index (United States = 100),actual
BEA regional price parities,2024,Florida,2013,regional_price_parity,100.742,index (United States = 100),actual
BEA regional price parities,2024,Florida,2014,regional_price_parity,100.894,index (United States = 100),actual
BEA regional price parities,2024,Florida,2015,regional_price_parity,101.290,index (United States = 100),actual
BEA regional price parities,2024,Florida,2016,regional_price_parity,101.087,index (United States = 100),actual
BEA regional price parities,2024,Florida,2017,regional_price_parity,100.871,index (United States = 100),actual
BEA regional price parities,2024,Florida,2018,regional_price_parity,100.318,index (United States = 100),actual
BEA regional price parities,2024,Florida,2019,regional_price_parity,99.645,index (United States = 100),actual
BEA regional price parities,2024,Florida,2020,regional_price_parity,100.604,index (United States = 100),actual
BEA regional price parities,2024,Florida,2021,regional_price_parity,101.389,index (United States = 100),actual
BEA regional price parities,2024,Florida,2022,regional_price_parity,102.284,index (United States = 100),actual
BEA regional price parities,2024,Florida,2023,regional_price_parity,103.636,index (United States = 100),actual
BEA regional price parities,2024,Florida,2024,regional_price_parity,103.414,index (United States = 100),actual
BEA regional price parities,2024,Georgia,2008,regional_price_parity,94.254,index (United States = 100),actual
BEA regional price parities,2024,Georgia,2009,regional_price_parity,91.854,index (United States = 100),actual
BEA regional price parities,2024,Georgia,2010,regional_price_parity,94.574,index (United States = 100),actual
BEA regional price parities,2024,Georgia,2011,regional_price_parity,93.666,index (United States = 100),actual
BEA regional price parities,2024,Georgia,2012,regional_price_parity,95.298,index (United States = 100),actual
BEA regional price parities,2024,Georgia,2013,regional_price_parity,94.868,index (United States = 100),actual
BEA regional price parities,2024,Georgia,2014,regional_price_parity,94.962,index (United States = 100),actual
BEA regional price parities,2024,Georgia,2015,regional_price_parity,94.717,index (United States = 100),actual
BEA regional price parities,2024,Georgia,2016,regional_price_parity,94.991,index (United States = 100),actual
BEA regional price parities,2024,Georgia,2017,regional_price_parity,95.275,index (United States = 100),actual
BEA regional price parities,2024,Georgia,2018,regional_price_parity,94.832,index (United States = 100),actual
BEA regional price parities,2024,Georgia,2019,regional_price_parity,94.392,index (United States = 100),actual
BEA regional price parities,2024,Georgia,2020,regional_price_parity,94.478,index (United States = 100),actual
BEA regional price parities,2024,Georgia,2021,regional_price_parity,95.713,index (United States = 100),actual
BEA regional price parities,2024,Georgia,2022,regional_price_parity,95.678,index (United States = 100),actual
BEA regional price parities,2024,Georgia,2023,regional_price_parity,96.494,index (United States = 100),actual
BEA regional price parities,2024,Georgia,2024,regional_price_parity,96.293,index (United States = 100),actual
BEA regional price parities,2024,Kentucky,2008,regional_price_parity,89.840,index (United States = 100),actual
BEA regional price parities,2024,Kentucky,2009,regional_price_parity,88.539,index (United States = 100),actual
BEA regional price parities,2024,Kentucky,2010,regional_price_parity,90.433,index (United States = 100),actual
BEA regional price parities,2024,Kentucky,2011,regional_price_parity,90.458,index (United States = 100),actual
BEA regional price parities,2024,Kentucky,2012,regional_price_parity,90.687,index (United States = 100),actual
BEA regional price parities,2024,Kentucky,2013,regional_price_parity,90.892,index (United States = 100),actual
BEA regional price parities,2024,Kentucky,2014,regional_price_parity,91.063,index (United States = 100),actual
