geography,year,period,nominal_salary,status,is_revised,salary_release,rpp,rpp_release,rpp_year,purchasing_power_salary
Alabama,2026,FY 2025-26,63800.000,estimated,True,2025-11-19,88.823,2024,2024,71828.243
Arkansas,2026,FY 2025-26,63470.000,estimated,True,2025-11-19,86.937,2024,2024,73006.890
Florida,2026,FY 2025-26,59554.000,estimated,True,2025-11-19,103.414,2024,2024,57587.947
Georgia,2026,FY 2025-26,72565.000,estimated,True,2025-11-19,96.293,2024,2024,75358.541
Kentucky,2026,FY 2025-26,56939.000,estimated,True,2025-11-19,90.159,2024,2024,63153.984
Louisiana,2026,FY 2025-26,62307.000,estimated,True,2025-11-19,88.207,2024,2024,70637.251
Mississippi,2026,FY 2025-26,54200.000,estimated,True,2025-11-19,86.953,2024,2024,62332.524
North Carolina,2026,FY 2025-26,62309.000,estimated,True,2025-11-19,94.326,2024,2024,66057.079
Tennessee,2026,FY 2025-26,63854.000,estimated,True,2025-11-19,91.870,2024,2024,69504.735
Virginia,2026,FY 2025-26,76022.000,estimated,True,2025-11-19,101.104,2024,2024,75191.882
West Virginia,2026,FY 2025-26,58912.000,estimated,True,2025-11-19,89.497,2024,2024,65825.670
Alabama,2027,FY 2026-27,66288.000,estimated,False,2025-11-19,88.823,2024,2024,74629.319
Arkansas,2027,FY 2026-27,65946.000,estimated,False,2025-11-19,86.937,2024,2024,75854.929
Florida,2027,FY 2026-27,61877.000,estimated,False,2025-11-19,103.414,2024,2024,59834.258
Georgia,2027,FY 2026-27,75395.000,estimated,False,2025-11-19,96.293,2024,2024,78297.488
Kentucky,2027,FY 2026-27,59160.000,estimated,False,2025-11-19,90.159,2024,2024,65617.409
Louisiana,2027,FY 2026-27,64737.000,estimated,False,2025-11-19,88.207,2024,2024,73392.134
Mississippi,2027,FY 2026-27,56314.000,estimated,False,2025-11-19,86.953,2024,2024,64763.723
North Carolina,2027,FY 2026-27,64739.000,estimated,False,2025-11-19,94.326,2024,2024,68633.251
Tennessee,2027,FY 2026-27,66344.000,estimated,False,2025-11-19,91.870,2024,2024,72215.087
Virginia,2027,FY 2026-27,78987.000,estimated,False,2025-11-19,101.104,2024,2024,78124.505
West Virginia,2027,FY 2026-27,61210.000,estimated,False,2025-11-19,89.497,2024,2024,68393.354
