source,source_release,geography,year,period,metric,value,unit,status,is_revised,rpp_year,method,input_source_ids,assumptions
National Assessment of Educational Progress Data Service,2024 assessment,Alabama,2024,2024 assessment,naep_grade_4_mathematics_at_or_above_proficient,36.9030230966035,percent at or above NAEP Proficient,actual,False,,,,
National Assessment of Educational Progress Data Service,2024 assessment,Arkansas,2024,2024 assessment,naep_grade_4_mathematics_at_or_above_proficient,31.2649615813709,percent at or above NAEP Proficient,actual,False,,,,
National Assessment of Educational Progress Data Service,2024 assessment,Florida,2024,2024 assessment,naep_grade_4_mathematics_at_or_above_proficient,44.7779725272555,percent at or above NAEP Proficient,actual,False,,,,
National Assessment of Educational Progress Data Service,2024 assessment,Georgia,2024,2024 assessment,naep_grade_4_mathematics_at_or_above_proficient,37.6648517040975,percent at or above NAEP Proficient,actual,False,,,,
National Assessment of Educational Progress Data Service,2024 assessment,Kentucky,2024,2024 assessment,naep_grade_4_mathematics_at_or_above_proficient,38.4364281387826,percent at or above NAEP Proficient,actual,False,,,,
National Assessment of Educational Progress Data Service,2024 assessment,Louisiana,2024,2024 assessment,naep_grade_4_mathematics_at_or_above_proficient,34.804249928158,percent at or above NAEP Proficient,actual,False,,,,
National Assessment of Educational Progress Data Service,2024 assessment,Mississippi,2024,2024 assessment,naep_grade_4_mathematics_at_or_above_proficient,37.8041035971025,percent at or above NAEP Proficient,actual,False,,,,
National Assessment of Educational Progress Data Service,2024 assessment,North Carolina,2024,2024 assessment,naep_grade_4_mathematics_at_or_above_proficient,41.2649447476322,percent at or above NAEP Proficient,actual,False,,,,
National Assessment of Educational Progress Data Service,2024 assessment,South Carolina,2024,2024 assessment,naep_grade_4_mathematics_at_or_above_proficient,39.9604544985966,percent at or above NAEP Proficient,actual,False,,,,
National Assessment of Educational Progress Data Service,2024 assessment,Tennessee,2024,2024 assessment,naep_grade_4_mathematics_at_or_above_proficient,41.7017705106826,percent at or above NAEP Proficient,actual,False,,,,
National Assessment of Educational Progress Data Service,2024 assessment,Virginia,2024,2024 assessment,naep_grade_4_mathematics_at_or_above_proficient,40.0377782985287,percent at or above NAEP Proficient,actual,False,,,,
National Assessment of Educational Progress Data Service,2024 assessment,West Virginia,2024,2024 assessment,naep_grade_4_mathematics_at_or_above_proficient,31.1703152140223,percent at or above NAEP Proficient,actual,False,,,,
National Assessment of Educational Progress Data Service,2024 assessment,Alabama,2024,2024 assessment,naep_grade_4_reading_at_or_above_proficient,28.0413350317572,percent at or above NAEP Proficient,actual,False,,,,
National Assessment of Educational Progress Data Service,2024 assessment,Arkansas,2024,2024 assessment,naep_grade_4_reading_at_or_above_proficient,28.1002118549837,percent at or above NAEP Proficient,actual,False,,,,
National Assessment of Educational Progress Data Service,2024 assessment,Florida,2024,2024 assessment,naep_grade_4_reading_at_or_above_proficient,32.9870052784604,percent at or above NAEP Proficient,actual,False,,,,
National Assessment of Educational Progress Data Service,2024 assessment,Georgia,2024,2024 assessment,naep_grade_4_reading_at_or_above_proficient,30.4397461209358,percent at or above NAEP Proficient,actual,False,,,,
National Assessment of Educational Progress Data Service,2024 assessment,Kentucky,2024,2024 assessment,naep_grade_4_reading_at_or_above_proficient,32.7092599044668,percent at or above NAEP Proficient,actual,False,,,,
National Assessment of Educational Progress Data Service,2024 assessment,Louisiana,2024,2024 assessment,naep_grade_4_reading_at_or_above_proficient,31.8391790199043,percent at or above NAEP Proficient,actual,False,,,,
National Assessment of Educational Progress Data Service,2024 assessment,Mississippi,2024,2024 assessment,naep_grade_4_reading_at_or_above_proficient,31.9803650021783,percent at or above NAEP Proficient,actual,False,,,,
National Assessment of Educational Progress Data Service,2024 assessment,North Carolina,2024,2024 assessment,naep_grade_4_reading_at_or_above_proficient,30.0839939314761,percent at or above NAEP Proficient,actual,False,,,,
National Assessment of Educational Progress Data Service,2024 assessment,South Carolina,2024,2024 assessment,naep_grade_4_reading_at_or_above_proficient,32.4747248997958,percent at or above NAEP Proficient,actual,False,,,,
National Assessment of Educational Progress Data Service,2024 assessment,Tennessee,2024,2024 assessment,naep_grade_4_reading_at_or_above_proficient,31.7835185386427,percent at or above NAEP Proficient,actual,False,,,,
National Assessment of Educational Progress Data Service,2024 assessment,Virginia,2024,2024 assessment,naep_grade_4_reading_at_or_above_proficient,30.7225700557571,percent at or above NAEP Proficient,actual,False,,,,
National Assessment of Educational Progress Data Service,2024 assessment,West Virginia,2024,2024 assessment,naep_grade_4_reading_at_or_above_proficient,24.6273090277865,percent at or above NAEP Proficient,actual,False,,,,
National Assessment of Educational Progress Data Service,2024 assessment,Alabama,2024,2024 assessment,naep_grade_8_mathematics_at_or_above_proficient,18.367255890075,percent at or above NAEP Proficient,actual,False,,,,
National Assessment of Educational Progress Data Service,2024 assessment,Arkansas,2024,2024 assessment,naep_grade_8_mathematics_at_or_above_proficient,19.8179144066782,percent at or above NAEP Proficient,actual,False,,,,
National Assessment of Educational Progress Data Service,2024 assessment,Florida,2024,2024 assessment,naep_grade_8_mathematics_at_or_above_proficient,21.1163750293637,percent at or above NAEP Proficient,actual,False,,,,
National Assessment of Educational Progress Data Service,2024 assessment,Georgia,2024,2024 assessment,naep_grade_8_mathematics_at_or_above_proficient,23.6577473819034,percent at or above NAEP Proficient,actual,False,,,,
