source,source_release,geography,year,period,metric,value,unit,status,is_revised,rpp_year,method,input_source_ids,assumptions
South Carolina Revenue and Fiscal Affairs Office teacher salary survey,2025-11-19,South Carolina,2020,FY 2019-20,average_teacher_salary,53329.0,current dollars,actual,False,,,,
South Carolina Revenue and Fiscal Affairs Office teacher salary survey,2025-11-19,South Carolina,2021,FY 2020-21,average_teacher_salary,53185.0,current dollars,actual,False,,,,
South Carolina Revenue and Fiscal Affairs Office teacher salary survey,2025-11-19,South Carolina,2022,FY 2021-22,average_teacher_salary,54814.0,current dollars,actual,False,,,,
South Carolina Revenue and Fiscal Affairs Office teacher salary survey,2025-11-19,South Carolina,2023,FY 2022-23,average_teacher_salary,57520.0,current dollars,actual,False,,,,
South Carolina Revenue and Fiscal Affairs Office teacher salary survey,2025-11-19,South Carolina,2024,FY 2023-24,average_teacher_salary,60763.0,current dollars,actual,False,,,,
South Carolina Revenue and Fiscal Affairs Office teacher salary survey,2025-11-19,South Carolina,2025,FY 2024-25,average_teacher_salary,64050.0,current dollars,actual,False,,,,
South Carolina Revenue and Fiscal Affairs Office teacher salary survey,2025-11-19,Southeastern average,2020,FY 2019-20,average_teacher_salary,52963.0,current dollars,actual,False,,,,
South Carolina Revenue and Fiscal Affairs Office teacher salary survey,2025-11-19,Southeastern average,2021,FY 2020-21,average_teacher_salary,53431.0,current dollars,actual,False,,,,
South Carolina Revenue and Fiscal Affairs Office teacher salary survey,2025-11-19,Southeastern average,2022,FY 2021-22,average_teacher_salary,54774.0,current dollars,actual,False,,,,
South Carolina Revenue and Fiscal Affairs Office teacher salary survey,2025-11-19,Southeastern average,2023,FY 2022-23,average_teacher_salary,57341.0,current dollars,actual,False,,,,
South Carolina Revenue and Fiscal Affairs Office teacher salary survey,2025-11-19,Southeastern average,2024,FY 2023-24,average_teacher_salary,59595.0,current dollars,actual,False,,,,
South Carolina Revenue and Fiscal Affairs Office teacher salary survey,2025-11-19,Southeastern average,2025,FY 2024-25,average_teacher_salary,61749.0,current dollars,estimated,False,,,,
South Carolina Revenue and Fiscal Affairs Office teacher salary survey,2025-11-19,Southeastern average,2026,FY 2025-26,average_teacher_salary,63085.0,current dollars,estimated,False,,,,
South Carolina Revenue and Fiscal Affairs Office teacher salary survey,2025-11-19,Southeastern average,2027,FY 2026-27,average_teacher_salary,65545.0,current dollars,estimated,False,,,,
South Carolina Revenue and Fiscal Affairs Office teacher salary survey,2025-11-19,Alabama,2025,FY 2024-25,average_teacher_salary,62919.0,current dollars,estimated,True,,,,
South Carolina Revenue and Fiscal Affairs Office teacher salary survey,2025-11-19,Alabama,2026,FY 2025-26,average_teacher_salary,63800.0,current dollars,estimated,True,,,,
South Carolina Revenue and Fiscal Affairs Office teacher salary survey,2025-11-19,Alabama,2027,FY 2026-27,average_teacher_salary,66288.0,current dollars,estimated,False,,,,
South Carolina Revenue and Fiscal Affairs Office teacher salary survey,2025-11-19,Arkansas,2025,FY 2024-25,average_teacher_salary,61147.0,current dollars,estimated,True,,,,
South Carolina Revenue and Fiscal Affairs Office teacher salary survey,2025-11-19,Arkansas,2026,FY 2025-26,average_teacher_salary,63470.0,current dollars,estimated,True,,,,
South Carolina Revenue and Fiscal Affairs Office teacher salary survey,2025-11-19,Arkansas,2027,FY 2026-27,average_teacher_salary,65946.0,current dollars,estimated,False,,,,
South Carolina Revenue and Fiscal Affairs Office teacher salary survey,2025-11-19,Florida,2025,FY 2024-25,average_teacher_salary,57374.0,current dollars,estimated,True,,,,
South Carolina Revenue and Fiscal Affairs Office teacher salary survey,2025-11-19,Florida,2026,FY 2025-26,average_teacher_salary,59554.0,current dollars,estimated,True,,,,
South Carolina Revenue and Fiscal Affairs Office teacher salary survey,2025-11-19,Florida,2027,FY 2026-27,average_teacher_salary,61877.0,current dollars,estimated,False,,,,
South Carolina Revenue and Fiscal Affairs Office teacher salary survey,2025-11-19,Georgia,2025,FY 2024-25,average_teacher_salary,71563.0,current dollars,estimated,True,,,,
South Carolina Revenue and Fiscal Affairs Office teacher salary survey,2025-11-19,Georgia,2026,FY 2025-26,average_teacher_salary,72565.0,current dollars,estimated,True,,,,
South Carolina Revenue and Fiscal Affairs Office teacher salary survey,2025-11-19,Georgia,2027,FY 2026-27,average_teacher_salary,75395.0,current dollars,estimated,False,,,,
South Carolina Revenue and Fiscal Affairs Office teacher salary survey,2025-11-19,Kentucky,2025,FY 2024-25,average_teacher_salary,56153.0,current dollars,estimated,True,,,,
South Carolina Revenue and Fiscal Affairs Office teacher salary survey,2025-11-19,Kentucky,2026,FY 2025-26,average_teacher_salary,56939.0,current dollars,estimated,True,,,,
South Carolina Revenue and Fiscal Affairs Office teacher salary survey,2025-11-19,Kentucky,2027,FY 2026-27,average_teacher_salary,59160.0,current dollars,estimated,False,,,,
South Carolina Revenue and Fiscal Affairs Office teacher salary survey,2025-11-19,Louisiana,2025,FY 2024-25,average_teacher_salary,60307.0,current dollars,estimated,True,,,,
South Carolina Revenue and Fiscal Affairs Office teacher salary survey,2025-11-19,Louisiana,2026,FY 2025-26,average_teacher_salary,62307.0,current dollars,estimated,True,,,,
South Carolina Revenue and Fiscal Affairs Office teacher salary survey,2025-11-19,Louisiana,2027,FY 2026-27,average_teacher_salary,64737.0,current dollars,estimated,False,,,,
South Carolina Revenue and Fiscal Affairs Office teacher salary survey,2025-11-19,Mississippi,2025,FY 2024-25,average_teacher_salary,53452.0,current dollars,estimated,True,,,,
South Carolina Revenue and Fiscal Affairs Office teacher salary survey,2025-11-19,Mississippi,2026,FY 2025-26,average_teacher_salary,54200.0,current dollars,estimated,True,,,,
South Carolina Revenue and Fiscal Affairs Office teacher salary survey,2025-11-19,Mississippi,2027,FY 2026-27,average_teacher_salary,56314.0,current dollars,estimated,False,,,,
South Carolina Revenue and Fiscal Affairs Office teacher salary survey,2025-11-19,North Carolina,2025,FY 2024-25,average_teacher_salary,61449.0,current dollars,estimated,True,,,,
South Carolina Revenue and Fiscal Affairs Office teacher salary survey,2025-11-19,North Carolina,2026,FY 2025-26,average_teacher_salary,62309.0,current dollars,estimated,True,,,,
